,user,team,timestamp,likes,replies,retweets,text,polarity,positive,negative
34,C_Murda17,@TBLightning,2018-05-22 23:18:42,0,1,0,Holtby has been playing his ass off dude. And I said “keeping the edge” not keeping them in it. Meaning the Caps are playing better. Btw I skipped lunch today.,0.5,1,0
35,valloneous,@TBLightning,2018-05-22 23:15:51,0,0,0,pic.twitter.com/8yJuLJ7Awe,0.0,0,0
36,codycovert29,@TBLightning,2018-05-22 23:12:32,0,0,0,He scored 6 games in a row calm down,0.07222222222222223,1,0
37,WhomDoUplay4,@TBLightning,2018-05-22 23:11:35,1,0,0,"My prediction... a win or loss will be determined by the play of Tampa's all stars... gonna need a solid 60 from them all. Expecting Point and Vasy to carry the water is not enough. 
 #gobolts",0.26666666666666666,1,0
38,turbojuic,@TBLightning,2018-05-22 23:10:51,0,0,0,Real hottie,0.2,1,0
39,LordStanley52,@TBLightning,2018-05-22 23:07:35,0,0,0,"Early taste of what the summer will be like! Have to find a golf course that’s open 24 hours! 
#BecauseItsTheCup",0.0625,1,0
40,CityofTampa,@TBLightning,2018-05-08 23:57:55,8,0,2,pic.twitter.com/kdYra9Eh9m,0.0,0,0
41,KIKI_SRQUS,@TBLightning,2018-05-08 23:56:20,2,0,0,Reminds me of our #BigCat #SassyVasy @TBLightning. #GoBolts #StanleyCupPlayoff,0.0,0,0
42,TBLightning,@TBLightning,2018-05-08 23:55:57,186,2,18,"As part of our Do Good Tuesdays, some of our #Bolts employees teamed up with @keeptbb to help clean up Riverfront Park this morning.

Doing our part to keep our city beautiful. pic.twitter.com/OW7SnTvb6N",0.6388888888888888,1,0
43,JeremyBarile,@TBLightning,2018-05-08 23:55:28,2,0,0,Went there for spring break as well. Got to see Ovechkin score his 600th that night. Can't wait for this series to start. Go bolts pic.twitter.com/4mTMPqypmt,0.0,0,0
44,WFLAJana,@TBLightning,2018-05-08 23:54:00,5,0,4,GO BOLTS! @TBlightning to open #StanleyCup Eastern Conference final at @AmalieArena Friday at 8 p.m. #GoBolts #WeWantTheCup http://wfla.com/1167408053 pic.twitter.com/uLN3LwtQqM,0.0,0,0
45,Pond_Sweaters,@TBLightning,2018-05-08 23:48:33,0,0,0,Check out Alexander Volkov Syracuse Crunch 2017-18 season game-issued alternate jersey   http://www.ebay.com/itm/-/112980120373?roken=cUgayN&soutkn=gwoATn … via @eBay @SyracuseCrunch @TBLightning #gogetit #GoBolts,0.0,0,0
46,TheBarnBurns,@TBLightning,2018-05-08 23:48:06,6,0,11,"Right Now On Fired Up & The 
""Breakaway""#Hockey Show Page @stevecarney talks about the @TBLightning #GoBolts
& the #NHLPlayoffs #StanleyCup
#PodernFamily #Trypod #podcastfix #PodGenie #Podcast 

Fired Up
http://www.barnburner.ca/Home/Podcasts 

The Breakaway Show Page 
http://www.barnburner.ca/Html/Shows/show-Breakaway.html …pic.twitter.com/DSoMAmudxI",0.2857142857142857,1,0
47,Pond_Sweaters,@TBLightning,2018-05-08 23:47:52,0,0,0,Check out Dominik Masin 2017 Calder Cup Finals game worn jersey - Syracuse Crunch #SyracuseCrunch http://www.ebay.com/itm/-/123078029253?roken=cUgayN&soutkn=Aeo7UG … via @eBay @SyracuseCrunch @TBLightning #gogetit #GoBolts,-0.4,0,1
48,JoeMungel1977,@TBLightning,2018-05-08 23:47:07,0,0,0,Congratulations to the @Capitals on advancing to the #EasternConferenceFinals. The East finals are set. It’s gonna be the @TBLightning v Capitals. Should be an exciting series. #StanleyCup #StanleyCupPlayoffs #WSHvsTBL #NHL #,0.3,1,0
49,maria__cos,@TBLightning,2018-05-08 23:45:10,0,0,1,"yeah, like @TBLightning ...just saying https://twitter.com/stanleycup/status/993673780999450624 …",0.0,0,0
50,TheRevTy,@TBLightning,2018-05-08 23:42:24,0,0,0,Thanks,0.2,1,0
51,BrianTatirosian,@TBLightning,2018-05-08 23:40:02,0,0,0,Couldn’t agree more it need to get fixed,0.3,1,0
52,HannahVeney1,@TBLightning,2018-05-08 23:37:35,0,0,0,@TBLightning Beat Washington for Me! I believe in you!!! Show them that you're NOT afraid of a challenge!,0.375,1,0
53,Alex_Owen8,@TBLightning,2018-05-08 23:36:50,0,1,0,"Hahaha. I will be wearing a Lightning shirt come Friday night. However, I might be wearing Capitals socks. Will you be attending the game on Friday?",-0.1,0,1
54,theskiff13,@TBLightning,2018-05-08 23:33:51,0,1,0,I know that the Bolts have released tickets (full price) the day before the game so you could get two uppers for 250 our the door. If I see them drop I can ping you.,-0.025000000000000022,0,1
55,gobolts4,@TBLightning,2018-05-08 23:32:07,0,0,0,I 2nd this for myself,0.0,0,0
56,PghGrlAtHeart,@TBLightning,2018-05-08 23:30:45,0,0,0,"Too bad, sunshine.",-0.6999999999999998,0,1
